City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
232,Beaverlodge,CA,81.75,clear sky,55.2166,-119.4361,Side Trax Inn
235,Papara,BR,81.0,broken clouds,-3.9839,-38.7273,CAMPOS MARANGUAPE
236,Samarai,PG,76.35,overcast clouds,-10.6167,150.6667,Nuli Sapi
237,Paciran,ID,76.3,scattered clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
243,Najran,SA,83.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
244,Broome,US,80.98,scattered clouds,42.2506,-75.833,Chenango Valley State Park
252,Dorado,PR,89.73,broken clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
258,Camopi,GF,79.61,broken clouds,3.1655,-52.3158,La pousada
262,Nha Trang,VN,80.6,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
263,Nicoya,CR,86.85,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
264,Auki,SB,78.3,broken clouds,-8.7676,160.7034,Auki Motel
265,Port-Gentil,GA,76.96,overcast clouds,-0.7193,8.7815,Fengshui Residence
267,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
270,Maneadero,MX,79.11,broken clouds,31.7167,-116.5667,Casa De Thompson
271,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
273,Pauini,BR,89.64,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
277,Cabo San Lucas,MX,86.5,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
284,Bensonville,LR,76.55,overcast clouds,6.4461,-10.6125,Moinga
285,Norman Wells,CA,80.64,scattered clouds,65.282,-126.8329,Heritage Hotel
286,Evanston,US,86.56,broken clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
289,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
290,Golfito,CR,82.56,broken clouds,8.639,-83.166,Banana Bay Marina
294,Lincoln,US,89.96,few clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
295,Tamiahua,MX,87.69,clear sky,21.2667,-97.45,Mission Of The Sun Hotel
297,Limbuhan,PH,80.56,overcast clouds,11.8838,124.0501,D'Bluewave Resort
302,Uniontown,US,82.09,few clouds,39.9001,-79.7164,Hampton Inn Uniontown
303,Meadow Lake,US,84.45,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
307,Ligayan,PH,82.49,overcast clouds,4.6533,119.4706,
309,Macheng,CN,83.82,overcast clouds,31.1783,115.0319,Shell Macheng City Macheng Bus Station Hotel
313,Thongwa,MM,77.16,overcast clouds,16.7619,96.5278,Mhaw Wun Marlar Park
316,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
318,Puro,PH,79.88,overcast clouds,12.4841,123.3827,
322,Rudsar,IR,76.98,clear sky,37.1376,50.288,Hotel Bahar
323,Santa Isabel Do Rio Negro,BR,85.46,overcast clouds,-0.4139,-65.0192,Hotel GSA
327,Cabra,ES,76.69,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
329,Acapulco,MX,85.86,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
330,Salinopolis,BR,80.92,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
332,Uthal,PK,80.31,overcast clouds,25.8072,66.6219,Al-Mustafa Hotel
333,Victoria,HK,82.45,overcast clouds,22.2855,114.1577,Mini Central
336,Vaitape,PF,78.39,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
337,Pundaguitan,PH,80.13,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
338,Sorong,ID,76.3,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
341,Astoria,US,80.44,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
343,Ishigaki,JP,82.53,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
353,Amberley,US,85.3,few clouds,39.2048,-84.428,Days Inn & Suites by Wyndham Cincinnati
354,Cortland,US,80.08,scattered clouds,42.6001,-76.083,Cortland Motel
356,Luganville,VU,77.29,broken clouds,-15.5333,167.1667,The Espiritu Hotel
359,Brigantine,US,86.2,broken clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
360,Tomatlan,MX,88.45,overcast clouds,19.9333,-105.25,El Salvial
361,Ravar,IR,79.9,clear sky,31.2656,56.8055,computertik
367,Kavaratti,IN,81.72,overcast clouds,10.5669,72.642,Green leaf
368,Sola,VU,79.29,few clouds,-13.8833,167.55,Leumerus Bungalows
369,Hambantota,LK,77.85,overcast clouds,6.1241,81.1185,Bungalow 63
376,Nouadhibou,MR,75.18,broken clouds,20.931,-17.0347,El Medina
380,Kavieng,PG,81.12,light rain,-2.5744,150.7967,Nusa Island Retreat
381,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
384,Dakar,SN,82.53,scattered clouds,14.6937,-17.4441,Novotel Dakar
385,Puerto Ayacucho,VE,88.02,few clouds,5.6639,-67.6236,Posada Turistica Manapiare
386,Moose Factory,CA,84.2,clear sky,51.2585,-80.6094,Moosonee Lilypad
390,Misratah,LY,85.37,clear sky,32.3754,15.0925,Almasa Hotel
394,Adrar,MR,84.65,light rain,20.5022,-10.0711,
396,Bairiki,KI,82.4,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
399,Keta,GH,75.42,overcast clouds,5.9179,0.9879,A&Y Wild Camp Ghana
400,Shenjiamen,CN,80.94,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
401,Elizabeth City,US,85.03,few clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
403,Benghazi,LY,81.86,clear sky,32.1167,20.0667,Tibesti Hotel
404,La Asuncion,VE,89.33,clear sky,11.0333,-63.8628,Colinas de Matasiete
406,Ierapetra,GR,87.15,clear sky,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
407,Houma,US,89.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
409,Limbang,MY,78.91,overcast clouds,4.75,115.0,Purnama Hotel
413,Dalbandin,PK,88.43,overcast clouds,28.8947,64.4101,Sanjrani House
415,Tezu,IN,76.51,overcast clouds,27.9167,96.1667,Circuit House
418,Sur,OM,89.6,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
421,Lamar,US,75.36,mist,33.6668,-95.5836,Kings Inn Paris TX
