City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Viedma,AR,-40.8135,-62.9967,51.91,28,0,12.37,clear sky
79,Bamnet Narong,TH,15.4992,101.6897,75.51,88,95,6.44,overcast clouds
80,Haines Junction,CA,60.7522,-137.5108,58.95,63,100,2.3,overcast clouds
81,Genhe,CN,50.7833,121.5167,46.26,71,95,1.95,overcast clouds
82,Beloha,MG,-25.1667,45.05,62.13,70,7,5.86,clear sky
83,Verkhoyansk,RU,67.5447,133.385,55.87,79,95,0.83,overcast clouds
84,Mahebourg,MU,-20.4081,57.7,70.25,78,20,10.36,few clouds
85,Nikolskoye,RU,59.7035,30.7861,69.69,64,94,4.81,overcast clouds
86,Gagino,RU,55.2314,45.0339,64.56,71,100,13.56,overcast clouds
87,Mabaruma,GY,8.2,-59.7833,82.42,76,41,4.34,scattered clouds
88,Vanavara,RU,60.34,102.2797,48.76,97,100,7.05,light rain
89,Bluff,NZ,-46.6,168.3333,43.81,92,7,9.93,clear sky
90,Ancud,CL,-41.8697,-73.8203,46.2,93,100,10.56,light rain
91,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,61,0,24.16,clear sky
92,Ilhabela,BR,-23.7781,-45.3581,71.69,75,31,6.8,scattered clouds
93,Butaritari,KI,3.0707,172.7902,81.14,68,90,7.65,overcast clouds
94,Santo Augusto,BR,-27.8508,-53.7772,45.46,72,7,13.94,clear sky
95,Wilmington,US,34.2257,-77.9447,82.31,55,0,9.22,clear sky
96,Port Arthur,CN,38.8,121.2667,75.42,92,100,20.36,heavy intensity rain
97,Sistranda,NO,63.7256,8.834,62.56,79,99,8.57,overcast clouds
98,Hilo,US,19.7297,-155.09,89.28,78,40,4.0,scattered clouds
99,Vaini,TO,-21.2,-175.2,71.76,78,40,11.5,scattered clouds
100,Lodja,CD,-3.4833,23.4333,73.99,76,88,2.21,overcast clouds
101,Leh,IN,34.1667,77.5833,65.86,44,5,5.41,clear sky
102,Pisco,PE,-13.7,-76.2167,65.01,68,0,9.22,clear sky
103,Kununurra,AU,-15.7667,128.7333,49.98,87,32,2.3,scattered clouds
104,Ostrovnoy,RU,68.0531,39.5131,50.97,90,100,8.21,overcast clouds
105,Barrow,US,71.2906,-156.7887,35.62,100,100,18.41,light snow
106,Dikson,RU,73.5069,80.5464,41.16,87,100,15.41,overcast clouds
107,Tarauaca,BR,-8.1614,-70.7656,86.18,57,100,3.02,overcast clouds
108,Lodwar,KE,3.1191,35.5973,84.65,38,26,7.99,scattered clouds
