City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Magadan,RU,2022-08-18 15:48:22,59.5667,150.8,52.18,93,100,8.66
68,Airai,TL,2022-08-18 15:48:23,-8.9266,125.4092,52.86,56,55,2.33
69,Bambous Virieux,MU,2022-08-18 15:48:23,-20.3428,57.7575,71.22,83,40,6.91
70,Gat,IL,2022-08-18 15:48:23,31.61,34.7642,86.4,6,0,9.33
71,Port Hedland,AU,2022-08-18 15:48:24,-20.3167,118.5667,68.05,52,54,6.91
72,Sao Filipe,CV,2022-08-18 15:48:24,14.8961,-24.4956,77.45,80,32,11.77
73,Upernavik,GL,2022-08-18 15:48:27,72.7868,-56.1549,39.85,89,100,3.85
74,Presidente Venceslau,BR,2022-08-18 15:48:28,-21.8761,-51.8439,67.1,92,100,6.58
75,Ponta Do Sol,PT,2022-08-18 15:48:28,32.6667,-17.1,76.71,65,20,3.15
76,Westport,US,2022-08-18 15:45:15,41.1415,-73.3579,84.15,55,0,6.91
77,Talnakh,RU,2022-08-18 15:48:28,69.4865,88.3972,48.42,63,1,12.86
78,Hambantota,LK,2022-08-18 15:48:29,6.1241,81.1185,80.94,89,20,10.36
79,Mount Gambier,AU,2022-08-18 15:48:29,-37.8333,140.7667,45.07,82,9,8.48
80,Yamada,JP,2022-08-18 15:48:29,39.4667,141.95,67.06,88,66,7.56
81,Nome,US,2022-08-18 15:48:30,64.5011,-165.4064,46.47,87,100,0.0
82,Tambun,ID,2022-08-18 15:48:30,-6.2641,107.0712,82.04,73,5,3.36
83,Cherskiy,RU,2022-08-18 15:48:31,68.75,161.3,52.36,61,100,8.19
84,Praia Da Vitoria,PT,2022-08-18 15:48:32,38.7333,-27.0667,77.25,65,75,6.8
85,Vila Do Maio,CV,2022-08-18 15:48:32,15.1333,-23.2167,86.79,76,78,12.5
86,Saldanha,ZA,2022-08-18 15:48:32,-33.0117,17.9442,57.25,79,50,18.25
87,Solnechnyy,RU,2022-08-18 15:48:33,50.7214,136.6319,60.62,85,73,3.69
88,Otradnoye,RU,2022-08-18 15:48:33,59.7775,30.8181,84.25,57,100,3.02
89,Kidal,ML,2022-08-18 15:48:33,18.4411,1.4078,99.64,24,2,2.68
90,Meulaboh,ID,2022-08-18 15:49:34,4.1363,96.1285,78.6,83,51,4.59
91,Baruun-Urt,MN,2022-08-18 15:49:34,46.6806,113.2792,45.25,94,51,3.8
92,Sao Francisco,BR,2022-08-18 15:49:35,-15.9486,-44.8644,90.3,20,1,5.06
93,Avarua,CK,2022-08-18 15:49:35,-21.2078,-159.775,66.25,88,100,4.61
94,Viedma,AR,2022-08-18 15:49:35,-40.8135,-62.9967,52.52,29,0,14.34
95,Jamestown,US,2022-08-18 15:49:16,42.097,-79.2353,76.95,56,40,6.91
